name,dba,license_number,license_type,license_status,address,city,state,zip,county,phone,source
Jahnetics Delivery,JAHnetics Microbusiness,C12-0000004-LIC,Commercial - Microbusiness,expired,,,CA,,San Francisco,,ca_dcc_playwright
"Dose Of Wellness, Inc.","DOSE OF WELLNESS, INC.",C12-0000005-LIC,Commercial - Microbusiness,expired,,,CA,,Los Angeles,,ca_dcc_playwright
Jn Stock Inc.,Data Not Available,C12-0000006-LIC,Commercial - Microbusiness,surrendered,,,CA,,Riverside,,ca_dcc_playwright
Breez Ca LLC,Breez CA LLC,C12-0000007-LIC,Commercial - Microbusiness,expired,,,CA,,Alameda,,ca_dcc_playwright
"Mystic Herbal Care, LLC",Mystic Herbal Care,C12-0000008-LIC,Commercial - Microbusiness,active,,,CA,,Alameda,,ca_dcc_playwright
Holistic Alternative Inc. #57/D,HOLISTIC ALTERNATIVE INC. #57/D,C12-0000009-LIC,Commercial - Microbusiness,revoked,,,CA,,Los Angeles,,ca_dcc_playwright
United Health & Care Center,UHCC,C12-0000010-LIC,Commercial - Microbusiness,expired,,,CA,,Los Angeles,,ca_dcc_playwright
Mendo Sour Power,Data Not Available,C12-0000011-LIC,Commercial - Microbusiness,surrendered,,,CA,,Mendocino,,ca_dcc_playwright
Swco Inc [Equity Retailer],Satori Wellness [Equity Retailer],C10-0000258-LIC,Commercial - Retailer,active,,,CA,,Humboldt,,ca_dcc_playwright
Ganjery,Data Not Available,C10-0000304-LIC,Commercial - Retailer,surrendered,,,CA,,Humboldt,,ca_dcc_playwright
"Pacific Reserve Nursery, LLC","PACIFIC RESERVE NURSERY, LLC",C11-0000136-LIC,Commercial - Distributor,expired,,,CA,,Monterey,,ca_dcc_playwright
Case Nursery,Fisherman Farms,C11-0000619-LIC,Commercial - Distributor,expired,,,CA,,Mendocino,,ca_dcc_playwright
Universal Nursery Los Angeles LLC,UNIVERSAL NURSERY LOS ANGELES LLC,C11-0000670-LIC,Commercial - Distributor,active,,,CA,,Los Angeles,,ca_dcc_playwright
"Grace & Co., Inc",Dark Heart Nursery,C11-0000684-LIC,Commercial - Distributor,surrendered,,,CA,,Alameda,,ca_dcc_playwright
Crane City Nursery,Crane City Nursery,C11-0000789-LIC,Commercial - Distributor,surrendered,,,CA,,Alameda,,ca_dcc_playwright
Seppys Nursery LLC,Headstash California,C11-0001156-LIC,Commercial - Distributor,expired,,,CA,,San Francisco,,ca_dcc_playwright
Sunol3c Inc,Grass Roots Nursery,C11-0001533-LIC,Commercial - Distributor,expired,,,CA,,Alameda,,ca_dcc_playwright
Pacific Reserve Nursery Inc.,PACIFIC RESERVE NURSERY INC.,C11-0001567-LIC,Commercial - Distributor,active,,,CA,,Monterey,,ca_dcc_playwright
