Name,DBA,License Number,License Type,Status,Address,City,State,Zip,County,Phone,Website,Source
"California Marijuana Distribution Laws","","","cultivation","active","","","CA","","","","https://californiacannabis.org/laws/distribution","brave_search"
"Home","","","cultivation","active","","","CA","","","","https://www.mygreennetwork.com/","brave_search"
"Enjoy the World’s Finest Cannabis Edibles","","","cultivation","active","","","CA","","","","https://www.kivaconfections.com/","brave_search"
"Garden Society California : Craft Cannabis Pre","","","cultivation","active","","","CA","","","","https://thegardensociety.com/","brave_search"
"Rose Los Angeles","","","cultivation","active","","","CA","","","","https://roselosangeles.com/","brave_search"
"Se7enLeaf","","","cultivation","active","","","CA","","","","https://se7enleaf.com/","brave_search"
"Marijuana Products Manufacturing License","","","cultivation","active","","","CA","","","","https://www.criminallawyersandiego.com/california-marijuana-business-lawyer/laws-and-resources/manufacturing/","brave_search"
"Growpacker","","","cultivation","active","","","CA","","","","https://www.growpacker.com/","brave_search"
"NorCal Cannabis Company","","","cultivation","active","","","CA","","","","https://norcalcann.com/","brave_search"
"Manufacturing","","","cultivation","active","","","CA","","","","https://www.cannabis.ca.gov/licensees/manufacturing/","brave_search"
"California","","","cultivation","active","","","CA","","","","https://zencannabis.com/california/","brave_search"
"MedMen Cannabis Dispensaries in California","","","cultivation","active","","","CA","","","","https://medmen.com/","brave_search"
"Edibles","","","cultivation","active","","","CA","","","","https://humbleroot.com/menu/categories/edibles/","brave_search"
"Solful Dispensary","","","cultivation","active","","","CA","","","","https://solful.com/","brave_search"
"Wana Brands","","","cultivation","active","","","CA","","","","https://www.wanabrands.com/","brave_search"
"California Cannabis Laws and Dispensary Licensing Procedures","","","cultivation","active","","","CA","","","","https://www.covasoftware.com/us-dispensary-laws/california","brave_search"
"Applying for a cannabis license","","","cultivation","active","","","CA","","","","https://www.ca.gov/departments/100/services/1281/","brave_search"
"Apply for a cannabis business permit","","","cultivation","active","","","CA","","","","https://www.sf.gov/step-by-step--apply-cannabis-business-permit","brave_search"
